Commodity,Import Reliance / Export Share,Major_Import_Sources_2019_2022,Commodity_Country
ALUMINUM,44,"Canada, United Arab Emirates, Bahrain, Russia","ALUMINUM|Canada, United Arab Emirates, Bahrain, Russia"
ANTIMONY,82,"China, Belgium, India, Bolivia","ANTIMONY|China, Belgium, India, Bolivia"
ARSENIC,100,"China, Morocco, Malaysia, Belgium","ARSENIC|China, Morocco, Malaysia, Belgium"
BARITE,75,"India, China, Morocco, Mexico","BARITE|India, China, Morocco, Mexico"
BISMUTH,94,"China, Republic of Korea, Belgium, Mexico","BISMUTH|China, Republic of Korea, Belgium, Mexico"
CESIUM,100,Germany,CESIUM|Germany
CHROMIUM,74,"South Africa, Kazakhstan, Russia, Canada","CHROMIUM|South Africa, Kazakhstan, Russia, Canada"
COBALT,67,"Norway, Canada, Finland, Japan","COBALT|Norway, Canada, Finland, Japan"
FLUORSPAR,100,"Mexico, Vietnam, China, South Africa","FLUORSPAR|Mexico, Vietnam, China, South Africa"
GALLIUM,100,"Japan, China, Germany, Canada","GALLIUM|Japan, China, Germany, Canada"
GERMANIUM,50,"Belgium, China, Canada","GERMANIUM|Belgium, China, Canada"
INDIUM,100,"Republic of Korea, Canada, Belgium","INDIUM|Republic of Korea, Canada, Belgium"
LITHIUM,25,"Argentina, Chile, China, Russia","LITHIUM|Argentina, Chile, China, Russia"
MANGANESE,100,"Gabon, South Africa, Australia, Georgia","MANGANESE|Gabon, South Africa, Australia, Georgia"
NICKEL,57,"Canada, Norway, Finland, Russia","NICKEL|Canada, Norway, Finland, Russia"
NIOBIUM,100,"Brazil, Canada","NIOBIUM|Brazil, Canada"
PALLADIUM,37,"Russia, South Africa, Italy, Canada","PALLADIUM|Russia, South Africa, Italy, Canada"
PLATINUM,83,"South Africa, Switzerland, Germany, Belgium","PLATINUM|South Africa, Switzerland, Germany, Belgium"
RUBIDIUM,100,"China, Germany, Russia","RUBIDIUM|China, Germany, Russia"
SCANDIUM,100,"Japan, China, Germany, Philippines","SCANDIUM|Japan, China, Germany, Philippines"
TANTALUM,100,"China, Germany, Australia, Indonesia","TANTALUM|China, Germany, Australia, Indonesia"
TELLURIUM,25,"Canada, Germany, Philippines, Japan","TELLURIUM|Canada, Germany, Philippines, Japan"
TIN,74,"Peru, Bolivia, Indonesia, Malaysia","TIN|Peru, Bolivia, Indonesia, Malaysia"
TITANIUM,95,"Japan, Kazakhstan, Saudi Arabia, Ukraine","TITANIUM|Japan, Kazakhstan, Saudi Arabia, Ukraine"
TUNGSTEN,50,"China, Germany, Bolivia, Vietnam","TUNGSTEN|China, Germany, Bolivia, Vietnam"
VANADIUM,58,"Canada, Brazil, Austria, Russia","VANADIUM|Canada, Brazil, Austria, Russia"
YTTRIUM,100,"China, Germany, France, Republic of Korea","YTTRIUM|China, Germany, France, Republic of Korea"
ZINC,77,"Canada, Mexico, Peru, Republic of Korea","ZINC|Canada, Mexico, Peru, Republic of Korea"
ZIRCONIUM,25,"South Africa, Australia, Senegal, Russia","ZIRCONIUM|South Africa, Australia, Senegal, Russia"
BERYLLIUM,-53,USA,BERYLLIUM|USA
CERIUM,-7,USA,CERIUM|USA
DYSPROSIUM,-16,USA,DYSPROSIUM|USA
ERBIUM,-12,USA,ERBIUM|USA
EUROPIUM,-22,USA,EUROPIUM|USA
GADOLINIUM,-13,USA,GADOLINIUM|USA
GRAPHITE ,-5,USA,GRAPHITE |USA
HAFNIUM,-11,USA,HAFNIUM|USA
HOLMIUM,-24,USA,HOLMIUM|USA
IRIDIUM,-18,USA,IRIDIUM|USA
LANTHANUM,-11,USA,LANTHANUM|USA
LUTETIUM,-6,USA,LUTETIUM|USA
MAGNESIUM,-85,USA,MAGNESIUM|USA
NEODYMIUM,-5,USA,NEODYMIUM|USA
PRASEODYMIUM,-13,USA,PRASEODYMIUM|USA
RHODIUM,-2,USA,RHODIUM|USA
RUTHENIUM,-20,USA,RUTHENIUM|USA
SAMARIUM,-26,USA,SAMARIUM|USA
TERBIUM,-39,USA,TERBIUM|USA
THULIUM,-37,USA,THULIUM|USA
YTTERBIUM,-20,USA,YTTERBIUM|USA
