AREA_TITLE;OCC_CODE;OCC_TITLE;H_MEAN;A_MEAN
Alabama;00-0000;All Occupations;25.67;53,400
Alabama;11-0000;Management Occupations;56.21;116,920
Alabama;11-1011;Chief Executives;106.26;221,030
Alabama;11-1021;General and Operations Managers;62.17;129,310
Alabama;11-1031;Legislators;*;33,690
Alabama;11-2011;Advertising and Promotions Managers;53.99;112,290
Alabama;11-2021;Marketing Managers;62.94;130,920
Alabama;11-2022;Sales Managers;66.20;137,700
Alabama;11-2032;Public Relations Managers;50.58;105,200
Alabama;11-2033;Fundraising Managers;40.57;84,380
Alabama;11-3012;Administrative Services Managers;61.64;128,220
Alabama;11-3013;Facilities Managers;56.98;118,510
Alabama;11-3021;Computer and Information Systems Managers;67.92;141,270
Alabama;11-3031;Financial Managers;71.99;149,750
Alabama;11-3051;Industrial Production Managers;58.96;122,630
Alabama;11-3061;Purchasing Managers;59.61;123,990
Alabama;11-3071;Transportation, Storage, and Distribution Managers;53.29;110,850
Alabama;11-3111;Compensation and Benefits Managers;53.44;111,160
Alabama;11-3121;Human Resources Managers;56.72;117,980
Alabama;11-3131;Training and Development Managers;54.59;113,540
Alabama;11-9021;Construction Managers;50.06;104,120
Alabama;11-9031;Education and Childcare Administrators, Preschool and Daycare;24.14;50,210
Alabama;11-9032;Education Administrators, Kindergarten through Secondary;*;90,900
Alabama;11-9033;Education Administrators, Postsecondary;57.53;119,660
Alabama;11-9039;Education Administrators, All Other;43.15;89,750
Alabama;11-9041;Architectural and Engineering Managers;75.59;157,230
Alabama;11-9051;Food Service Managers;31.65;65,830
Alabama;11-9072;Entertainment and Recreation Managers, Except Gambling;26.83;55,800
Alabama;11-9081;Lodging Managers;32.73;68,090
Alabama;11-9111;Medical and Health Services Managers;47.73;99,270
Alabama;11-9121;Natural Sciences Managers;59.15;123,040
Alabama;11-9131;Postmasters and Mail Superintendents;43.68;90,850
Alabama;11-9141;Property, Real Estate, and Community Association Managers;28.77;59,850
Alabama;11-9151;Social and Community Service Managers;33.64;69,980
Alabama;11-9161;Emergency Management Directors;36.46;75,830
Alabama;11-9171;Funeral Home Managers;41.53;86,390
Alabama;11-9199;Managers, All Other;54.02;112,350
Alabama;13-0000;Business and Financial Operations Occupations;38.76;80,620
Alabama;13-1020;Buyers and Purchasing Agents;35.48;73,790
Alabama;13-1031;Claims Adjusters, Examiners, and Investigators;36.29;75,490
Alabama;13-1041;Compliance Officers;34.39;71,530
Alabama;13-1051;Cost Estimators;32.70;68,010
Alabama;13-1071;Human Resources Specialists;31.84;66,220
Alabama;13-1075;Labor Relations Specialists;27.63;57,470
Alabama;13-1081;Logisticians;44.70;92,980
Alabama;13-1082;Project Management Specialists;52.40;108,990
Alabama;13-1111;Management Analysts;54.03;112,390
Alabama;13-1121;Meeting, Convention, and Event Planners;24.55;51,070
Alabama;13-1131;Fundraisers;27.35;56,890
Alabama;13-1141;Compensation, Benefits, and Job Analysis Specialists;34.48;71,710
Alabama;13-1151;Training and Development Specialists;33.72;70,140
Alabama;13-1161;Market Research Analysts and Marketing Specialists;32.90;68,420
Alabama;13-1199;Business Operations Specialists, All Other;49.23;102,400
Alabama;13-2011;Accountants and Auditors;36.64;76,200
Alabama;13-2020;Property Appraisers and Assessors;28.76;59,820
Alabama;13-2031;Budget Analysts;45.86;95,390
Alabama;13-2041;Credit Analysts;43.32;90,100
Alabama;13-2051;Financial and Investment Analysts;47.91;99,640
Alabama;13-2052;Personal Financial Advisors;*;*
Alabama;13-2053;Insurance Underwriters;36.30;75,510
Alabama;13-2054;Financial Risk Specialists;48.31;100,490
Alabama;13-2061;Financial Examiners;39.64;82,450
Alabama;13-2071;Credit Counselors;18.98;39,480
Alabama;13-2072;Loan Officers;37.18;77,330
Alabama;13-2081;Tax Examiners and Collectors, and Revenue Agents;27.87;57,970
Alabama;13-2082;Tax Preparers;15.59;32,430
Alabama;13-2099;Financial Specialists, All Other;42.17;87,720
Alabama;15-0000;Computer and Mathematical Occupations;46.27;96,240
Alabama;15-1211;Computer Systems Analysts;52.18;108,520
Alabama;15-1212;Information Security Analysts;52.61;109,420
Alabama;15-1221;Computer and Information Research Scientists;50.66;105,360
Alabama;15-1231;Computer Network Support Specialists;32.69;67,990
Alabama;15-1232;Computer User Support Specialists;24.80;51,590
Alabama;15-1241;Computer Network Architects;60.99;126,860
Alabama;15-1242;Database Administrators;43.03;89,510
Alabama;15-1243;Database Architects;55.00;114,400
Alabama;15-1244;Network and Computer Systems Administrators;41.66;86,650
Alabama;15-1251;Computer Programmers;46.64;97,020
Alabama;15-1252;Software Developers;53.19;110,630
Alabama;15-1253;Software Quality Assurance Analysts and Testers;48.81;101,520
Alabama;15-1254;Web Developers;32.09;66,750
Alabama;15-1255;Web and Digital Interface Designers;26.19;54,470
Alabama;15-1299;Computer Occupations, All Other;45.89;95,440
Alabama;15-2011;Actuaries;53.28;110,810
Alabama;15-2031;Operations Research Analysts;54.04;112,400
Alabama;15-2041;Statisticians;37.16;77,300
Alabama;15-2051;Data Scientists;47.61;99,040
Alabama;15-2099;Mathematical Science Occupations, All Other;22.38;46,540
Alabama;17-0000;Architecture and Engineering Occupations;48.95;101,810
Alabama;17-1011;Architects, Except Landscape and Naval;*;*
Alabama;17-1012;Landscape Architects;30.56;63,560
Alabama;17-1021;Cartographers and Photogrammetrists;33.75;70,200
Alabama;17-1022;Surveyors;27.22;56,620
Alabama;17-2011;Aerospace Engineers;62.37;129,740
Alabama;17-2041;Chemical Engineers;52.07;108,310
Alabama;17-2051;Civil Engineers;46.36;96,430
Alabama;17-2061;Computer Hardware Engineers;64.49;134,140
Alabama;17-2071;Electrical Engineers;55.47;115,380
Alabama;17-2072;Electronics Engineers, Except Computer;56.66;117,860
Alabama;17-2081;Environmental Engineers;47.59;98,990
Alabama;17-2111;Health and Safety Engineers, Except Mining Safety Engineers and Inspectors;53.93;112,170
Alabama;17-2112;Industrial Engineers;46.98;97,730
Alabama;17-2121;Marine Engineers and Naval Architects;46.15;95,980
Alabama;17-2131;Materials Engineers;51.43;106,980
Alabama;17-2141;Mechanical Engineers;49.70;103,380
Alabama;17-2151;Mining and Geological Engineers, Including Mining Safety Engineers;40.94;85,150
Alabama;17-2161;Nuclear Engineers;61.50;127,910
